SERVICE_x,OPERATOR_x,A/D_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,FLIGHT_DATE_x,DATETIME_x,LINK_x,SERVICE_y,OPERATOR_y,A/D_y,AC_y,SEAT_y,TY_y,O/D_y,TROUND_y,FLIGHT_DATE_y,DATETIME_y,ID,LINK_y
FR6657,FR,A,73H,189.0,J,PMI,FR 2684 ,2018-04-01 00:00:00,2018-04-01 13:15:00,D2106,FR6605,FR,D,73H,189.0,J,IBZ,FR 6643 ,2018-04-01 00:00:00,2018-04-01 14:15:00,D2106,1.0
BE767,BE,A,DH4,78.0,J,SOU,BE 1341 ,2018-04-01 00:00:00,2018-04-01 13:20:00,D1014,BE849,BE,D,DH4,78.0,J,BHX,BE 1336 ,2018-04-01 00:00:00,2018-04-01 14:10:00,D1014,1.0
EI3254,EI,A,AT7,72.0,J,DUB,EI 3255 ,2018-04-01 00:00:00,2018-04-01 13:30:00,D1860,EI3255,EI,D,AT7,72.0,J,DUB,EI 3254 ,2018-04-01 00:00:00,2018-04-01 14:00:00,D1860,1.0
BA1446,BA,A,320,168.0,J,LHR,BA 1453 ,2018-04-01 00:00:00,2018-04-01 13:35:00,D1417,BA1453,BA,D,320,168.0,J,LHR,BA 1446 ,2018-04-01 00:00:00,2018-04-01 14:35:00,D1417,1.0
EZY481,EZY,A,319,156.0,J,BFS,EZY482  ,2018-04-01 00:00:00,2018-04-01 13:35:00,D580,EZY482,EZY,D,319,156.0,J,BFS,EZY481  ,2018-04-01 00:00:00,2018-04-01 14:05:00,D580,1.0
LS858,LS,A,73C,148.0,J,AGP,LS 775  ,2018-04-01 00:00:00,2018-04-01 13:40:00,D921,LS815,LS,D,73C,148.0,J,FAO,LS 718  ,2018-04-01 00:00:00,2018-04-01 14:45:00,D921,1.0
BE1336,BE,A,DH4,78.0,J,LCY,BE 849  ,2018-04-01 00:00:00,2018-04-01 13:40:00,D308,BE294,BE,D,DH4,78.0,J,MAN,BE 846  ,2018-04-01 00:00:00,2018-04-01 14:20:00,D308,1.0
KL1285,KL,A,73W,142.0,J,AMS,KL 1286 ,2018-04-01 00:00:00,2018-04-01 13:55:00,D1238,KL1286,KL,D,73W,142.0,J,AMS,KL 1285 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D1238,1.0
TK1345,TK,A,73H,165.0,J,IST,TK 1346 ,2018-04-01 00:00:00,2018-04-01 14:00:00,D1327,TK1346,TK,D,73H,165.0,J,IST,TK 1345 ,2018-04-01 00:00:00,2018-04-01 14:55:00,D1327,1.0
LS848,LS,A,73C,148.0,J,DBV,LS 787  ,2018-04-01 00:00:00,2018-04-01 14:05:00,D805,LS775,LS,D,73C,148.0,J,ALC,LS 858  ,2018-04-01 00:00:00,2018-04-01 14:45:00,D805,1.0
EZY15,EZY,A,320,186.0,J,LTN,EZY808  ,2018-04-01 00:00:00,2018-04-01 14:10:00,D61,EZY16,EZY,D,320,186.0,J,LTN,EZY807  ,2018-04-01 00:00:00,2018-04-01 14:40:00,D61,1.0
EZY807,EZY,A,320,186.0,J,LGW,EZY16   ,2018-04-01 00:00:00,2018-04-01 14:10:00,D601,EZY486,EZY,D,320,186.0,J,BFS,EZY233  ,2018-04-01 00:00:00,2018-04-01 15:25:00,D601,1.0
BE688,BE,A,DH4,78.0,J,BHD,BE 2107 ,2018-04-01 00:00:00,2018-04-01 14:20:00,D1644,BE2107,BE,D,DH4,78.0,J,LHR,BE 688  ,2018-04-01 00:00:00,2018-04-01 14:50:00,D1644,1.0
