SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,LINK
BA1434,BA,A,763,259.0,J,LHR,BA 1441 ,2018-04-02 00:00:00,2018-04-02 08:10:00,D1371
EZY481,EZY,A,320,186.0,J,BFS,EZY6977 ,2018-04-02 00:00:00,2018-04-02 08:15:00,D2431
EZY3385,EZY,A,319,156.0,J,VCE,EZY3386 ,2018-04-02 00:00:00,2018-04-02 08:20:00,D541
EZY2683,EZY,A,320,186.0,J,MXP,EZY2684 ,2018-04-02 00:00:00,2018-04-02 08:20:00,D1739
EZY231,EZY,A,320,186.0,J,STN,EZY6921 ,2018-04-02 00:00:00,2018-04-02 08:25:00,D2278
SK2545,SK,A,CR9,90.0,J,ARN,SK 2546 ,2018-04-02 00:00:00,2018-04-02 08:35:00,D1715
EZY803,EZY,A,320,186.0,J,LGW,EZY484  ,2018-04-02 00:00:00,2018-04-02 08:45:00,D2222
DL409,DL,A,75W,168.0,J,JFK,DL 209  ,2018-04-02 00:00:00,2018-04-02 08:55:00,D156
BE842,BE,A,DH4,78.0,J,BHX,BE 845  ,2018-04-02 00:00:00,2018-04-02 08:55:00,D640
REV71C,REV,A,CN2,0.0,F,EMA,REV71  D,2018-04-02 00:00:00,2018-04-02 09:05:00,D146
FR8881,FR,A,73H,189.0,J,STN,FR 8884 ,2018-04-02 00:00:00,2018-04-02 09:15:00,D2661
EZY11,EZY,A,320,186.0,J,LTN,EZY6905 ,2018-04-02 00:00:00,2018-04-02 09:15:00,D2490
WW860,WW,A,321,200.0,J,KEF,WW 861  ,2018-04-02 00:00:00,2018-04-02 09:20:00,D1079
BE2102,BE,A,DH4,78.0,J,LHR,BE 210  ,2018-04-02 00:00:00,2018-04-02 09:25:00,D250
BA1438,BA,A,320,168.0,J,LHR,BA 1443 ,2018-04-02 00:00:00,2018-04-02 09:40:00,D1386
SK2541,SK,A,73H,181.0,J,ARN,SK 2542 ,2018-04-02 00:00:00,2018-04-02 09:45:00,D1701
EW9364,EW,A,32A,180.0,J,DUS,EW 9365 ,2018-04-02 00:00:00,2018-04-02 09:50:00,D2692
LM350,LM,A,SF3,34.0,J,LSI,LM 335  ,2018-04-02 00:00:00,2018-04-02 09:50:00,D378
FR1286,FR,A,73H,189.0,J,MRS,FR 1287 ,2018-04-02 00:00:00,2018-04-02 09:55:00,D1253
EI3252,EI,A,AT7,72.0,J,DUB,EI 3253 ,2018-04-02 00:00:00,2018-04-02 10:10:00,D1846
EZY6962,EZY,A,320,186.0,J,PRG,EZY6995 ,2018-04-02 00:00:00,2018-04-02 10:15:00,D196
EZY6984,EZY,A,319,156.0,J,CPH,EZY6915 ,2018-04-02 00:00:00,2018-04-02 10:20:00,D2254
EZY233,EZY,A,320,180.0,J,STN,EZY234  ,2018-04-02 00:00:00,2018-04-02 10:30:00,D856
FR1047,FR,A,73H,189.0,J,FKB,FR 1051 ,2018-04-02 00:00:00,2018-04-02 10:45:00,D1131
EW362,EW,A,32A,180.0,J,CGN,EW 363  ,2018-04-02 00:00:00,2018-04-02 10:55:00,D469
LH962,LH,A,321,195.0,J,FRA,LH 963  ,2018-04-02 00:00:00,2018-04-02 11:00:00,D1088
LM392,LM,A,SF3,33.0,J,KOI,LM 351  ,2018-04-02 00:00:00,2018-04-02 11:15:00,D374
BE1334,BE,A,DH4,78.0,J,LCY,BE 687  ,2018-04-02 00:00:00,2018-04-02 11:20:00,D666
LM342,LM,A,SF3,33.0,J,SYY,LM 313  ,2018-04-02 00:00:00,2018-04-02 11:20:00,D440
FR7893,FR,A,73H,189.0,J,GOT,FR 7892 ,2018-04-02 00:00:00,2018-04-02 11:25:00,D2536
TO3624,TO,A,73H,189.0,J,ORY,TO 3625 ,2018-04-02 00:00:00,2018-04-02 11:30:00,D1943
EI3672,EI,A,AT7,70.0,J,SNN,EI 3805 ,2018-04-02 00:00:00,2018-04-02 11:30:00,D1963
KL1281,KL,A,73H,186.0,J,AMS,KL 1282 ,2018-04-02 00:00:00,2018-04-02 11:40:00,D1226
