SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,ID,LINK
FR817,FR,D,73H,189.0,J,DUB,FR 4525 ,2018-04-01 00:00:00,2018-04-01 13:10:00,D940,1
BE4504,BE,D,E95,118.0,J,CWL,BE 4503 ,2018-04-01 00:00:00,2018-04-01 13:20:00,D2006,1
FR1054,FR,D,73H,189.0,J,PRG,FR 816  ,2018-04-01 00:00:00,2018-04-01 13:25:00,D1135,1
FR2684,FR,D,73H,189.0,J,STN,FR 6657 ,2018-04-01 00:00:00,2018-04-01 13:40:00,D1743,1
EZY238,EZY,D,319,156.0,J,STN,EZY6990 ,2018-04-01 00:00:00,2018-04-01 13:45:00,D206,1
FR1078,FR,D,73H,189.0,J,HAM,FR 1065 ,2018-04-01 00:00:00,2018-04-01 13:45:00,D1165,1
LM347,LM,D,SF3,33.0,J,SYY,LM 354 A,2018-04-01 00:00:00,2018-04-01 13:45:00,D401,1
BE1341,BE,D,DH4,78.0,J,LCY,BE 767  ,2018-04-01 00:00:00,2018-04-01 13:55:00,D1296,1
EI3255,EI,D,AT7,72.0,J,DUB,EI 3254 ,2018-04-01 00:00:00,2018-04-01 14:00:00,D1860,1
EZY482,EZY,D,319,156.0,J,BFS,EZY481  ,2018-04-01 00:00:00,2018-04-01 14:05:00,D580,1
BE849,BE,D,DH4,78.0,J,BHX,BE 1336 ,2018-04-01 00:00:00,2018-04-01 14:10:00,D1014,1
FR6605,FR,D,73H,189.0,J,IBZ,FR 6643 ,2018-04-01 00:00:00,2018-04-01 14:15:00,D2106,1
BE294,BE,D,DH4,78.0,J,MAN,BE 846  ,2018-04-01 00:00:00,2018-04-01 14:20:00,D308,1
LS797,LS,D,73H,189.0,J,PFO,LS 780  ,2018-04-01 00:00:00,2018-04-01 14:25:00,D837,1
LS787,LS,D,73C,148.0,J,BUD,LS 848  ,2018-04-01 00:00:00,2018-04-01 14:30:00,D828,1
EZY808,EZY,D,320,186.0,J,LGW,EZY15   ,2018-04-01 00:00:00,2018-04-01 14:35:00,D867,1
BA1453,BA,D,320,168.0,J,LHR,BA 1446 ,2018-04-01 00:00:00,2018-04-01 14:35:00,D1417,1
EZY16,EZY,D,320,186.0,J,LTN,EZY807  ,2018-04-01 00:00:00,2018-04-01 14:40:00,D61,1
QR30,QR,D,359,283.0,J,DOH,QR 29   ,2018-04-01 00:00:00,2018-04-01 14:40:00,D114,1
LS815,LS,D,73C,148.0,J,FAO,LS 718  ,2018-04-01 00:00:00,2018-04-01 14:45:00,D921,1
LS775,LS,D,73C,148.0,J,ALC,LS 858  ,2018-04-01 00:00:00,2018-04-01 14:45:00,D805,1
KL1286,KL,D,73W,142.0,J,AMS,KL 1285 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D1238,1
BE2107,BE,D,DH4,78.0,J,LHR,BE 688  ,2018-04-01 00:00:00,2018-04-01 14:50:00,D1644,1
TK1346,TK,D,73H,165.0,J,IST,TK 1345 ,2018-04-01 00:00:00,2018-04-01 14:55:00,D1327,1
D83503,D8,D,73H,186.0,J,CPH,D8 3502 ,2018-04-01 00:00:00,2018-04-01 14:55:00,D1912,1
LM306,LM,D,D38,31.0,J,NWI,LM 305  ,2018-04-01 00:00:00,2018-04-01 15:05:00,D343,1
EI3257,EI,D,AT7,72.0,J,DUB,EI 3256 ,2018-04-01 00:00:00,2018-04-01 15:15:00,D1875,1
EZY486,EZY,D,320,186.0,J,BFS,EZY233  ,2018-04-01 00:00:00,2018-04-01 15:25:00,D601,1
EZY426,EZY,D,320,186.0,J,BRS,EZY425  ,2018-04-01 00:00:00,2018-04-01 15:25:00,D538,1
BE212,BE,D,DH4,78.0,J,EXT,BE 211  ,2018-04-01 00:00:00,2018-04-01 15:25:00,D178,1
AF1487,AF,D,E90,100.0,J,CDG,AF 1486 ,2018-04-01 00:00:00,2018-04-01 15:25:00,D1491,1
FR6652,FR,D,73H,189.0,J,AGP,FR 6696 ,2018-04-01 00:00:00,2018-04-01 15:40:00,D2148,1
SN2064,SN,D,319,141.0,J,BRU,SN 2063 ,2018-04-01 00:00:00,2018-04-01 15:55:00,D1586,1
D81600,D8,D,7M8,189.0,J,SWF,D8 1641 ,2018-04-01 00:00:00,2018-04-01 16:10:00,D1508,1
LM355A,LM,D,SF3,33.0,J,LSI,LM 336  ,2018-04-01 00:00:00,2018-04-01 16:10:00,D448,1
EZY18,EZY,D,319,156.0,J,LTN,EZY17   ,2018-04-01 00:00:00,2018-04-01 16:10:00,D72,1
BE851,BE,D,DH4,78.0,J,BHX,BE 848  ,2018-04-01 00:00:00,2018-04-01 16:15:00,D1025,1
KL1290,KL,D,E90,100.0,J,AMS,KL 1289 ,2018-04-01 00:00:00,2018-04-01 16:30:00,D1257,1
BA1455,BA,D,320,168.0,J,LHR,BA 1458 ,2018-04-01 00:00:00,2018-04-01 16:30:00,D1434,0
BE1343,BE,D,DH4,78.0,J,LCY,BE 656  ,2018-04-01 00:00:00,2018-04-01 16:45:00,D1309,1
EZY6959,EZY,D,320,186.0,J,NCE,EZY809  ,2018-04-01 00:00:00,2018-04-01 16:55:00,D2389,1
LM399A,LM,D,SF3,34.0,J,KOI,LM 348 A,2018-04-01 00:00:00,2018-04-01 16:55:00,D517,1
