SERVICE_x,OPERATOR_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,DATETIME_x,SERVICE_y,SEAT_y,TY_y,O/D_y,DATETIME_y,TURN_MINUTES
FR812,FR,73H,189.0,J,DUB,FR 813  ,2018-04-08 06:35:00,FR813,189.0,J,DUB,2018-04-08 07:00:00,25
UA36,UA,75W,169.0,J,EWR,UA 39   ,2018-04-08 06:45:00,UA39,169.0,J,EWR,2018-04-08 08:15:00,90
EI3250,EI,AT7,72.0,J,DUB,EI 3251 ,2018-04-08 06:55:00,EI3251,72.0,J,DUB,2018-04-08 07:20:00,25
AF1686,AF,318,131.0,J,CDG,AF 1687 ,2018-04-08 07:00:00,AF1687,131.0,J,CDG,2018-04-08 07:45:00,45
EI3806,EI,AT7,70.0,J,ORK,EI 3675 ,2018-04-08 07:20:00,EI3675,70.0,J,SNN,2018-04-08 07:50:00,30
KL1277,KL,73W,142.0,J,AMS,KL 1278 ,2018-04-08 07:25:00,KL1278,142.0,J,AMS,2018-04-08 08:10:00,45
EZY2683,EZY,320,180.0,J,MXP,EZY2684 ,2018-04-08 08:00:00,EZY6921,180.0,J,AMS,2018-04-08 10:45:00,165
EI3550,EI,AT7,72.0,J,DUB,EI 3551 ,2018-04-08 08:00:00,EI3551,72.0,J,DUB,2018-04-08 08:30:00,30
D81605,D8,7M8,189.0,J,PVD,D8 1640 ,2018-04-08 08:05:00,D81640,189.0,J,OSL,2018-04-08 10:25:00,140
DY4463,DY,73H,186.0,J,ARN,DY 4464 ,2018-04-08 08:10:00,DY4464,186.0,J,ARN,2018-04-08 08:40:00,30
SK4601,SK,736,123.0,J,OSL,SK 4602 ,2018-04-08 09:05:00,SK4602,123.0,J,OSL,2018-04-08 09:45:00,40
BA1438,BA,763,259.0,J,LHR,BA 1443 ,2018-04-08 09:15:00,BA1443,259.0,J,LHR,2018-04-08 10:55:00,100
FR5578,FR,73H,189.0,J,ALC,FR 5579 ,2018-04-08 09:15:00,FR5579,189.0,J,ALC,2018-04-08 09:50:00,35
WW860,WW,321,200.0,J,KEF,WW 861  ,2018-04-08 09:20:00,WW861,200.0,J,KEF,2018-04-08 11:00:00,100
BE2102,BE,DH4,78.0,J,LHR,BE 764  ,2018-04-08 09:25:00,BE263,78.0,J,EMA,2018-04-08 10:45:00,80
EZY6922,EZY,320,180.0,J,AMS,EZY6921 ,2018-04-08 10:10:00,EZY6995,186.0,J,MAD,2018-04-08 11:00:00,50
EI3252,EI,AT7,72.0,J,DUB,EI 3253 ,2018-04-08 10:10:00,EI3253,72.0,J,DUB,2018-04-08 10:35:00,25
EW362,EW,32A,180.0,J,CGN,EW 363  ,2018-04-08 10:15:00,EW363,180.0,J,CGN,2018-04-08 10:50:00,35
EZY6962,EZY,320,186.0,J,PRG,EZY6995 ,2018-04-08 10:15:00,EZY234,186.0,J,STN,2018-04-08 11:30:00,75
LH962,LH,321,195.0,J,FRA,LH 963  ,2018-04-08 11:00:00,LH963,195.0,J,FRA,2018-04-08 11:45:00,45
FR7617,FR,73H,189.0,J,SDR,FR 7834 ,2018-04-08 11:05:00,FR7834,189.0,J,BZR,2018-04-08 11:55:00,50
EZY6906,EZY,320,186.0,J,GVA,EZY234  ,2018-04-08 11:05:00,EZY6977,186.0,J,SXF,2018-04-08 12:10:00,65
SK2541,SK,73H,181.0,J,ARN,SK 2542 ,2018-04-08 11:15:00,SK2542,181.0,J,ARN,2018-04-08 11:55:00,40
EZY6976,EZY,320,186.0,J,BIO,EZY6907 ,2018-04-08 11:30:00,EZY6907,186.0,J,GVA,2018-04-08 12:25:00,55
EZY6942,EZY,320,186.0,J,KEF,EZY6977 ,2018-04-08 11:30:00,EZY806,186.0,J,LGW,2018-04-08 12:40:00,70
EI3672,EI,AT7,70.0,J,SNN,EI 3805 ,2018-04-08 11:30:00,EI3805,70.0,J,ORK,2018-04-08 12:00:00,30
EZY6994,EZY,320,186.0,J,MAD,EZY6923 ,2018-04-08 11:35:00,EZY6923,186.0,J,AMS,2018-04-08 12:55:00,80
BE684,BE,DH4,78.0,J,BHD,BE 687  ,2018-04-08 11:35:00,BE687,78.0,J,BHD,2018-04-08 12:10:00,35
EZY6940,EZY,320,186.0,J,KRK,EZY490  ,2018-04-08 11:40:00,EZY808,186.0,J,LGW,2018-04-08 14:35:00,175
BA4508,BA,E90,98.0,C,CMF,BA 8703 ,2018-04-08 11:45:00,BA8719,98.0,J,LCY,2018-04-08 18:55:00,430
KL1281,KL,E90,100.0,J,AMS,KL 1282 ,2018-04-08 11:45:00,KL1282,100.0,J,AMS,2018-04-08 12:15:00,30
TO3628,TO,73H,189.0,J,ORY,TO 3629 ,2018-04-08 11:55:00,TO3629,189.0,J,ORY,2018-04-08 12:35:00,40
FR1065,FR,73H,189.0,J,TLS,FR 1078 ,2018-04-08 11:55:00,FR1109,189.0,J,EIN,2018-04-08 12:45:00,50
FR6643,FR,73H,189.0,J,BTS,FR 6605 ,2018-04-08 11:55:00,FR8421,189.0,J,FUE,2018-04-08 12:50:00,55
BE2104,BE,DH4,78.0,J,LHR,BE 766  ,2018-04-08 12:00:00,BE766,78.0,J,SOU,2018-04-08 12:30:00,30
BA2936,BA,320,169.0,J,LGW,BA 2937 ,2018-04-08 12:05:00,BA1453,168.0,J,LHR,2018-04-08 14:35:00,150
BA1442,BA,319,143.0,J,LHR,BA 1445 ,2018-04-08 12:05:00,BA2937,144.0,J,LGW,2018-04-09 00:00:00,1215
EZY6982,EZY,319,156.0,J,LIS,EZY6983 ,2018-04-08 12:10:00,EZY238,156.0,J,STN,2018-04-08 13:45:00,95
EZY3385,EZY,319,156.0,J,VCE,EZY3386 ,2018-04-08 12:10:00,EZY482,156.0,J,BFS,2018-04-08 14:05:00,115
LM394,LM,SF3,33.0,J,KOI,LM 355  ,2018-04-08 12:10:00,LM357,33.0,J,LSI,2018-04-08 17:10:00,300
FR6682,FR,73H,189.0,J,CIA,FR 1109 ,2018-04-08 12:10:00,FR817,189.0,J,DUB,2018-04-08 13:10:00,60
QR29,QR,359,283.0,J,DOH,QR 30   ,2018-04-08 12:15:00,QR30,283.0,J,DOH,2018-04-08 14:40:00,145
EZY6992,EZY,320,186.0,J,NAP,EZY806  ,2018-04-08 12:20:00,EZY16,186.0,J,LTN,2018-04-08 14:40:00,140
FR6267,FR,73H,189.0,J,BCN,FR 8421 ,2018-04-08 12:25:00,FR1054,189.0,J,PRG,2018-04-08 13:25:00,60
LS718,LS,73C,148.0,J,PMI,LS 815  ,2018-04-08 12:30:00,LS787,148.0,J,BUD,2018-04-08 14:30:00,120
FR4525,FR,73H,189.0,J,WMI,FR 817  ,2018-04-08 12:35:00,FR2684,189.0,J,STN,2018-04-08 13:40:00,65
LS780,LS,73H,189.0,J,GVA,LS 797  ,2018-04-08 12:45:00,LS797,189.0,J,PFO,2018-04-08 14:25:00,100
FR816,FR,73H,189.0,J,DUB,FR 1054 ,2018-04-08 12:45:00,FR1078,189.0,J,HAM,2018-04-08 13:45:00,60
BE4503,BE,E95,118.0,J,CWL,BE 4504 ,2018-04-08 12:50:00,BE4504,118.0,J,CWL,2018-04-08 13:20:00,30
BE846,BE,DH4,78.0,J,BHX,BE 294  ,2018-04-08 13:10:00,BE1341,78.0,J,LCY,2018-04-08 13:55:00,45
LM354A,LM,SF3,33.0,J,LSI,LM 347  ,2018-04-08 13:10:00,LM351,33.0,J,LSI,2018-04-09 00:00:00,1035
FR6657,FR,73H,189.0,J,PMI,FR 2684 ,2018-04-08 13:15:00,FR6605,189.0,J,IBZ,2018-04-08 14:15:00,60
BE767,BE,DH4,78.0,J,SOU,BE 1341 ,2018-04-08 13:20:00,BE849,78.0,J,BHX,2018-04-08 14:10:00,50
EI3254,EI,AT7,72.0,J,DUB,EI 3255 ,2018-04-08 13:30:00,EI3255,72.0,J,DUB,2018-04-08 14:00:00,30
BA1446,BA,320,168.0,J,LHR,BA 1453 ,2018-04-08 13:35:00,BA1455,168.0,J,LHR,2018-04-08 16:30:00,175
EZY481,EZY,319,156.0,J,BFS,EZY482  ,2018-04-08 13:35:00,EZY18,156.0,J,LTN,2018-04-08 16:10:00,155
